imdb_id,inf_dist_summary
tt0808510,1.0
tt0049833,1.0
tt8752498,1.0
tt0308055,1.0
tt1528071,1.0
tt3954294,1.0
tt1356864,1.0
tt0206275,1.0
tt0469897,1.0
tt3385516,1.0
tt1840309,1.0
tt7958736,1.0
tt0265208,1.0
tt1305591,1.0
tt0280760,1.0
tt0115685,1.0
tt0240684,1.0
tt4137902,1.0
tt0104040,1.0
tt0047478,1.0
tt0037120,1.0
tt1666335,1.0
tt0078477,1.0
tt3741678,1.0
tt1194173,1.0
tt6964076,1.0
tt0426931,1.0
tt1648179,1.0
tt0074483,1.0
tt0455596,1.0
tt1545319,1.0
tt0420223,1.0
tt0145660,1.0
tt0947802,1.0
tt0236493,1.0
tt0066995,1.0
tt2450186,1.0
tt0292644,1.0
tt4361050,1.0
tt2083379,1.0
tt0345950,1.0
tt0313255,1.0
tt2318527,1.0
tt0884322,1.0
tt0116705,1.0
tt0486640,1.0
tt0099654,1.0
tt8230872,1.0
tt2163203,1.0
tt1105355,1.0
tt1678051,1.0
tt0403702,1.0
tt1278379,1.0
tt0029747,1.0
tt0167260,1.0
tt6722976,1.0
tt0074539,1.0
tt2806390,1.0
tt4286666,1.0
tt0084516,1.0
tt0096903,1.0
tt1341340,1.0
tt3060952,1.0
tt3450958,1.0
tt0110006,1.0
tt7331548,1.0
tt0251075,1.0
tt1403865,1.0
tt0181865,1.0
tt0140796,1.0
tt0269095,1.0
tt1872194,1.0
tt1783732,1.0
tt1099212,1.0
tt4121958,1.0
tt0338216,1.0
tt1024255,1.0
tt0293815,1.0
tt0180093,1.0
tt4411596,1.0
tt0112453,1.0
tt0096969,1.0
tt6987770,1.0
tt0962736,1.0
tt3460252,1.0
tt0362165,1.0
tt0956038,1.0
tt4357170,1.0
tt1488555,1.0
tt6535880,1.0
tt0299930,1.0
tt2382396,1.0
tt0106400,1.0
tt2034139,1.0
tt0134630,1.0
tt4575576,1.0
tt4364194,1.0
tt0259446,1.0
tt7427356,1.0
tt6849128,1.0
tt0312499,1.0
tt0090863,1.0
tt1371150,1.0
tt1185833,1.0
tt0108395,1.0
tt4136828,1.0
tt7458762,1.0
tt9019352,1.0
tt1657507,1.0
tt3721954,1.0
tt0140379,1.0
tt7049542,1.0
tt0053779,1.0
tt5186714,1.0
tt6003368,1.0
tt1340418,1.0
tt6905366,1.0
tt2071648,1.0
tt0829482,1.0
tt0814331,1.0
tt4003440,1.0
tt0490668,1.0
tt3676370,1.0
tt0403217,1.0
tt1273228,1.0
tt0027996,1.0
tt0099731,1.0
tt0167360,1.0
tt5897394,1.0
tt0070735,1.0
tt0265343,1.0
tt0076843,1.0
tt2368833,1.0
tt6233688,1.0
tt0910936,1.0
tt2197926,1.0
tt0166485,1.0
tt0115956,1.0
tt3367294,1.0
tt2062700,1.0
tt3813310,1.0
tt3569230,1.0
tt2465146,1.0
tt2511190,1.0
tt5575342,1.0
tt3741700,1.0
tt0144084,1.0
tt2484120,1.0
tt2865120,1.0
tt0376994,1.0
tt1293842,1.0
tt0454876,1.0
tt0230011,1.0
tt1032751,1.0
tt0083929,1.0
tt0058708,1.0
tt0938330,1.0
tt1486834,1.0
tt2555268,1.0
tt0284946,1.0
tt0362227,1.0
tt0356154,1.0
tt5690360,1.0
tt4501454,1.0
tt3700364,1.0
